seller_id,seller_state,delivered_orders,items_sold,revenue,average_item_value,revenue_rank
1746c1ae87ac63d530c7c943d0ac42e2,SP,1,1,252.35,252.35,2274
3f84fefc07dc159b268d4a77d3e8c425,PR,3,3,251.92,83.97,2275
740205fedfe4e90ca6857bc77db0f2b4,SP,1,1,251.83,251.83,2276
ad8b531ae67582f096925cff5630d0d1,PR,2,2,251.49,125.75,2277
b05b432bf68945d4d9783f9e3ca29ee8,SP,2,2,250.89,125.44,2278
e59e575a175fadcadf8479e191770425,RJ,1,1,250.88,250.88,2279
800214c63934acd05d47e84214db8ba8,SC,3,3,250.41,83.47,2280
fe8055980a4ff7f64ed889c2b5926929,PR,3,3,249.98,83.33,2281
72431a818f97fe6ab9c81eee3e297e54,SP,1,1,249.39,249.39,2282
a663d9c3797e90eac99ff60939416a56,SP,1,1,249.08,249.08,2283
bec568278124768c474ee90971ca94d1,SP,2,2,249.06,124.53,2284
a0a14e50070f3225b3eabba5b85da517,PR,4,4,248.64,62.16,2285
7d484ca289afaac6bf5fc6a1e96d2226,MS,2,2,248.42,124.21,2286
90b36c5aeb728d5504a39f435bef0c5f,SP,4,4,247.89,61.97,2287
50770d25768b0486d89be26afca3108f,SP,6,6,247.86,41.31,2288
809413606dbfe5deefd2db646693ef67,SP,3,5,247.05,49.41,2289
643c01d7c56a724bec0454f4780e8a3e,SC,2,2,246.65,123.33,2290
3442f8959a84dea7ee197c632cb2df15,SP,3,3,246.6,82.2,2291
bcc9dd23e2a8bd8267cf92b19304a1b9,SP,3,3,246.22,82.07,2292
edf3fabebcc20f7463cc9c53da932ea8,SP,1,1,244.02,244.02,2293
bff9deb0ec77d437f3305a79cf25529e,SP,5,5,242.74,48.55,2294
299c89a525fee36c567f4fe72f038100,CE,1,1,242.67,242.67,2295
778323240ce2830d68aab11794e00bfb,SP,3,3,242.43,80.81,2296
63b9ae557efed31d1f7687917d248a8d,SP,5,7,242.31,34.62,2297
2075d8cd4dd63ff12df0749a5866bb06,PR,3,3,242.23,80.74,2298
b01c2b7b8599b325103ebcddc67413e1,RS,4,4,242.12,60.53,2299
90b57083da5d803237da74daec6dcb2b,PR,2,2,241.21,120.6,2300
a218df5c097b0ca409cfaac1488cc7f6,SP,4,4,240.7,60.17,2301
eec3469d83e142f9a104886655338c37,SP,4,4,240.44,60.11,2302
034b9387752bfa309f350a70cd45ffa3,SC,8,8,240.26,30.03,2303
762ed976527cddf02787edba70fffa2a,PR,3,4,240.12,60.03,2304
0f7eea709efdf942b5f95c7516dbacd7,SP,3,3,240.06,80.02,2305
586a871d4f1221763fddb6ceefdeb95e,RS,1,2,239.48,119.74,2306
31e60bf8d103ce47932a85f5562deb16,GO,1,1,239.04,239.04,2307
7d948535954aaf8c5d39db007f74372e,SP,4,4,237.8,59.45,2308
b5f49fe968dff6b112861e6cd8e192ef,PR,1,2,237.67,118.84,2309
7ad41305e96a6cab8294cd65891e9a86,SP,2,2,237.6,118.8,2310
1de62b6f2fd96227629786db492433db,SP,2,2,237.53,118.77,2311
6ee85be3693ed79a8e80718743d80655,SP,5,5,236.47,47.29,2312
751e274377499a8503fd6243ad9c56f6,SP,1,2,235.84,117.92,2313
89d9a386b0b6e5fc8403071b03f7206a,SP,2,5,235.25,47.05,2314
3d700782d7818f2c1e0d7a9e9d75fc00,SP,3,3,235.11,78.37,2315
9da15f4a4ea758d9eeb49000dbe57e22,SP,1,1,234.61,234.61,2316
e0482f2c769468c3bbcd8a01e09d98c5,SP,1,1,234.4,234.4,2317
3d290fe363c60a77498c1126fd3fb8d3,SP,3,3,234.04,78.01,2318
a4b8d97cd5d3674eeff96abc99d8ed67,SP,1,1,233.38,233.38,2319
dd8a29ce82d5c705ba932d81494600a5,SP,2,2,233.25,116.63,2320
4f0d637c1197fd65405ebd755ac9f86b,SP,2,2,232.47,116.23,2321
ccada0ef508e698917a6eab263375905,PR,3,3,231.96,77.32,2322
e503f22be6a4f456d9851920a5d9c670,SP,2,2,231.34,115.67,2323
478bfe564db21eeb44386606aa30b650,MG,3,3,230.8,76.93,2324
fc6295add6f51a0936407ead70c1001d,SP,1,4,230.52,57.63,2325
d8dd176509baa37f359644d082bf7f7b,SP,2,2,229.9,114.95,2326
8def3db7f272735afb2ecd03aeca09a7,RJ,2,2,229.64,114.82,2327
6f835fd4be26989b1b064399da346143,PR,2,2,229.25,114.63,2328
2cb4700db635baa1c0d4f90ed27b6669,PR,2,2,228.72,114.36,2329
3fe7120d6257285ac6a3ce7cb071ccec,MG,2,2,228.26,114.13,2330
2ea0861cc19e94cad86438c984c52da4,SP,6,6,228.05,38.01,2331
23ff42c4bf1f8f16cddb19d8b972974a,MG,2,3,227.67,75.89,2332
f35becee938e982bd615edf8ef12bcfb,SP,6,6,226.81,37.8,2333
1d1bbb8ac1581824986f582583fff01d,SC,4,4,226.47,56.62,2334
f356c348fbc8df6a882823e21f5ce8b7,RS,2,2,225.65,112.83,2335
939f6e231201f26803cb5c3a3d2940b3,SP,3,4,225.62,56.41,2336
1cbdc7cf130a41fd13a3c2a7d2fcfda7,MG,2,2,225.61,112.81,2337
f92d8c817434bd2d84d4e9c61322b7fa,SP,5,5,225.61,45.12,2337
3fefda3299e6dfaea3466ef346a3571a,PR,1,1,225.21,225.21,2339
c747d5b92c7648417faea95d36d763e8,CE,1,1,224.75,224.75,2340
8ca5b19e0263150d2c57afdde2b3d011,SP,3,4,224.68,56.17,2341
651530bf5c607240ccdd89a30c9c9712,BA,1,1,224.45,224.45,2342
377bc18334c78dd2f1535ef22a3ad225,PR,1,1,224.44,224.44,2343
c5e60e39c0f42b8e827daa13cff74afa,SP,6,8,223.1,27.89,2344
9e7c5f4d7770eab65738cca38f9efccf,SP,2,2,222.88,111.44,2345
4d9fea3499bdc22aa4da4e339365f215,SP,2,2,222.74,111.37,2346
747c1cdcd1737dcfbd1547f6eb6f2cf3,SP,2,2,222.37,111.19,2347
52f6f9f13ba19504c02781132a049e75,PR,1,1,222.13,222.13,2348
e9874ae10b2d60d43917b6bbfa13a599,PR,1,1,222.1,222.1,2349
b7e1750c1157341d2abd0251e07c186b,SP,3,4,220.56,55.14,2350
717b78b0950b51ed00b1471d858b0edc,SP,5,5,219.75,43.95,2351
19e0f40a907ec568c34bfac15de4f4a1,SP,4,4,219.62,54.91,2352
5db42a6cd9bf1bf0d3aab9582767f168,ES,1,1,219.33,219.33,2353
3289d8c3eef4873f91ce0b1343c0dd58,SP,1,1,219.27,219.27,2354
dda37071807e404c5bb2a1590c66326f,SP,1,1,219.27,219.27,2354
9cea4682e16655f7da87f406902e989e,PR,4,9,219.23,24.36,2356
f19516b9ff26bfeb091b30108db4ddbd,SP,3,3,219.22,73.07,2357
f26d70155c2b6326fcfa1780c8c684e4,SC,1,1,219.06,219.06,2358
c360e4787614ed31ac7a2f95d3b22dc6,SP,1,1,218.95,218.95,2359
ca7c6bd577e559472af1c699de9e764e,SP,6,8,218.82,27.35,2360
538caafddff204241cecbf3a02e6b3cf,SP,8,8,218.81,27.35,2361
a3b0df0065e264a91b7bbf5f844af5cd,SP,2,2,218.75,109.38,2362
99a25c39b28a74d1151c35c18d178292,SP,1,6,218.7,36.45,2363
dbc51f5e45d654ecc16cb68e6817ecea,SP,1,1,218.13,218.13,2364
3a79f35a2344ede41af21267f61d5ec6,SP,1,1,217.71,217.71,2365
e1bed63d68ac36fe1f3061befe196af5,SP,1,1,217.0,217.0,2366
213fafb0ca06fb3d5886579c2565791b,MG,3,3,216.86,72.29,2367
f307937c1bb287c3efc2a514b94b0d1d,MG,1,1,216.6,216.6,2368
63272377184e969942f7fff221be858d,SP,2,2,216.23,108.11,2369
bdf0d02d36a1d839d0c39c4a887cdd49,SP,5,7,215.95,30.85,2370
55c96925041a14097b6a7825554f4ad5,SP,5,6,215.89,35.98,2371
039b29ff3b3473435d0cd59040575de9,SP,9,9,215.55,23.95,2372
bd4ff04377f974574f7f0bf9d6ce7dde,SP,4,4,215.1,53.78,2373
c04d70d515d15a7e3db3a73320598566,RJ,3,4,214.82,53.7,2374
4450bd8327d471c4a11a83d1445b1b62,SP,1,1,214.56,214.56,2375
1352e06ae67b410cdae0b2a22361167b,RJ,2,2,214.1,107.05,2376
5659d77e8d90378e39b960ad5956f64e,SP,2,2,213.13,106.56,2377
78ba5933c21686d1c2f64669c8c459e7,SP,2,2,212.57,106.29,2378
c353f8fc0ce8344999f17d578eb69a5e,RS,2,2,212.57,106.28,2379
19484c79cef6c062cb177aa4ef2fcc3c,SP,1,1,212.06,212.06,2380
98dddbc4601dd4443ca174359b237166,PR,2,2,211.67,105.83,2381
fedf2c1386e137f296b3bbf3b635e69d,SP,2,5,210.9,42.18,2382
4a82c4af97ffc0fb2dc26bfdc03b1842,MG,3,3,210.9,70.3,2383
b906dd0e57f282c7089171b6ed07982e,PR,2,2,210.75,105.38,2384
45c20d94d9171b0bcfab3c955e47d67b,SP,4,4,210.57,52.64,2385
8e34331b7eedd03be4e5d965c1956225,SP,5,5,210.44,42.09,2386
22c32ec35d0116ef02c281798a25bf8b,PR,4,6,210.01,35.0,2387
6ba4733aa33f6386e9fb0c0fd3993b38,RS,3,3,209.88,69.96,2388
4bcec44888b30ba9001234c534716d3f,SP,5,5,209.23,41.85,2389
cbbd5ae8f53de5f5097cd8217b529e24,SP,1,1,208.16,208.16,2390
7d7866a99a8656a42c7ff6352a433410,SP,5,5,207.38,41.48,2391
b00af24704019bd2e1b335e70ad11f7c,BA,1,1,207.25,207.25,2392
119c7f1a00ef43fad0e57604e76a747c,SP,2,2,206.82,103.41,2393
0b64bcdb0784abc139af04077d49a20e,RS,4,4,205.81,51.45,2394
0692610d8abe24f287e9fae90ea0bbee,SP,4,4,205.72,51.43,2395
d9c349beabc06aa6ff1c6d68b5e9e22e,SP,1,1,205.65,205.65,2396
43a1d4bab73b816e44ef4e4facd9f9b5,PR,1,1,205.4,205.4,2397
902c99f1ac505c0d18778b61bcd636f7,SP,3,3,205.29,68.43,2398
bd0a1b0aadca9a83d9304f7e8ff5fbd5,SP,4,4,205.19,51.3,2399
7adbd3210a7b3cc2235e225eef33574d,SP,3,3,204.86,68.29,2400
7cf4ea70955b00d6b3c22542598e2715,SP,1,1,204.81,204.81,2401
2235cf78d3e2073a88146a9cb60f0dd0,SP,1,1,204.76,204.76,2402
964ff64dc05b13811c6d0f41e0aa5f6b,SP,1,1,204.06,204.06,2403
698f5fa55a5f73d0740e9d9a773e8093,RJ,4,6,203.99,34.0,2404
5a9b3bcab695173c820e53934574ae80,SP,1,1,203.77,203.77,2405
aae5953b9edddf14749c0d65d60eb4b9,MG,2,2,202.9,101.45,2406
686886775c8f6b1191c7b953fb52708c,SP,1,1,202.62,202.62,2407
bb3dca718920a4d7ec3cc9ffb025108b,SP,2,3,201.7,67.23,2408
d3e7d37c0df9aef383f3f2a15b0dddfb,PR,1,1,201.34,201.34,2409
0ade5cc4a305ed7093a23f68ca47519c,PR,2,2,201.27,100.63,2410
5def4c3732941a971cba8fdee992ede1,SP,5,6,201.04,33.51,2411
78813699ffac347fe27dba345a5f1551,RS,1,1,200.54,200.54,2412
51a04a8a6bdcb23deccc82b0b80742cf,SP,1,1,199.92,199.92,2413
4dc2e811a1760953cb7c6a590b498943,SP,1,1,199.84,199.84,2414
c7c7b2682c648339a0e9846bb1023a39,SP,2,3,199.68,66.56,2415
88cd3681e0a2ba85e190f7d817629c4c,SC,1,1,199.36,199.36,2416
e1643dff33666ca629e3644c02738179,SP,3,3,199.31,66.44,2417
9dd459b29a14bf89d47183cf2cd0e4c7,SP,2,2,198.82,99.41,2418
b9de031b671cd48b28fae9d828cbf2b4,SP,1,1,198.69,198.69,2419
880ce4951cf857ab1d9e0b75c1d856f4,MG,1,1,197.72,197.72,2420
57df9869a600bd6b7c405f2a862eccfb,MG,5,5,197.21,39.44,2421
52a50b42accf164f9f019941e5759d9b,SP,4,4,197.02,49.26,2422
d2df77822373f19934e87694d8640767,PR,2,2,196.4,98.2,2423
3606774ec64634822d78dc2db6d37045,SP,1,1,196.27,196.27,2424
94165aea8a35c3c21499cbcae239b16c,MG,1,1,196.11,196.11,2425
9c57bc60cfad5ee62d35d3f1ce4593a1,PR,1,1,195.43,195.43,2426
fa5fdc4e4bb6bd1009ad0e4ac4096562,SP,1,1,194.85,194.85,2427
6a53b90c3ad9e0b56d9fe5c69165fff5,PR,2,4,194.78,48.69,2428
56f413900b5166ab4d730e9ac0b12cb0,SP,3,3,194.24,64.75,2429
7c9130f5f3729edd32aa059141d92484,SP,3,4,193.15,48.29,2430
3ea08c48e851106d2f584349daba335f,MG,1,1,192.94,192.94,2431
533d46c1b06970e99f09523a61df4972,SP,2,2,192.62,96.31,2432
4bde6149c15cf7e177b36fa060dd6de8,RS,2,2,192.46,96.23,2433
ea846a0e7ad98a741783e886d89dfa44,SP,2,3,192.26,64.09,2434
0e72c1a751b496722a6cb1f10653b62a,SP,3,3,192.1,64.03,2435
2a7c6c0b0d5efde2bf75ec1e1cec2d41,PR,3,3,192.04,64.01,2436
657969cca82e884d272385ec0ef06edd,RS,3,3,191.56,63.85,2437
6902157ee16728322d61a1321fa79e58,SP,2,2,191.43,95.72,2438
044668ccd5316b12a7cf0d54a156e3e9,SP,3,4,191.35,47.84,2439
a9b533a26e898b12e8b8d4c07279bf4d,RJ,4,4,191.06,47.77,2440
dd9661d3cda1e6feb237f0c4d8b26f2e,SC,1,1,190.98,190.98,2441
a154d7316f158bb42e6fa18bbe3afd3a,SP,2,2,190.13,95.06,2442
26e13b6ff5b641b329e5524241ee2c93,SP,4,4,189.68,47.42,2443
7fe21dd00d2f4943ae09525efa2fd674,RJ,2,2,189.01,94.5,2444
8fbe2ee446b97e128471be4ce983dc0d,SP,3,3,188.5,62.83,2445
05ca864204d09595ae591b93ea9cf93d,SP,1,1,188.42,188.42,2446
5566627eab3fe93fd6ee08798226101a,PR,5,5,187.81,37.56,2447
98e164d549402270247f3c96a1a158ef,SP,2,2,187.42,93.71,2448
578fa3a9cb6b6dceab39231ad59cdaca,CE,3,3,187.2,62.4,2449
ef728fa1f17436c91ed1ccd03dcf9631,SP,3,4,186.82,46.7,2450
c8143b3069f6746a77421b5ce30a450c,GO,1,1,185.88,185.88,2451
83c8aafbefb034674a70de0eac5b8954,PR,2,2,185.87,92.94,2452
44ed138eca6214d572ce1d813fb0049b,RS,2,3,185.8,61.93,2453
7178e1eaa97257d8b6d4b80efd77a025,SP,1,1,184.71,184.71,2454
2ec6e37d992a95eaddb3369dcbcc76d9,RS,2,2,183.94,91.97,2455
